"08/08","Chat échaudé craint l’eau froide."
"09/08","Qui vivra verra."
"10/08","Faute avouée est à moitié pardonnée."
"11/08","Il n’y a que les imbéciles qui ne changent pas d’avis."
"12/08","Il n’est pire aveugle que celui qui ne veut pas voir."
"13/08","Les bons comptes font les bons amis."
"14/08","L’avenir appartient à ceux qui se lèvent tôt."
"15/08","Mieux vaut tard que jamais."
"16/08","Il ne faut pas mettre tous ses œufs dans le même panier."
"17/08","Qui ne tente rien n’a rien."
"18/08","Un tiens vaut mieux que deux tu l’auras."
"19/08","À chaque jour suffit sa peine."
"20/08","La nuit porte conseil."
"21/08","Il n’y a pas de fumée sans feu."
"22/08","Les absents ont toujours tort."
"23/08","Tel est pris qui croyait prendre."
"24/08","Petit à petit, l’oiseau fait son nid."
"25/08","Pierre qui roule n’amasse pas mousse."
"26/08","Chose promise, chose due."
"27/08","Tant va la cruche à l’eau qu’à la fin elle se casse."
"28/08","On ne fait pas d’omelette sans casser des œufs."
"29/08","Charbonnier est maître chez lui."
"30/08","Ce que femme veut, Dieu le veut."
"31/08","L’habit ne fait pas le moine."
"01/09","Il faut battre le fer pendant qu’il est chaud."
"02/09","Chat échaudé craint l’eau froide."
"03/09","Qui vivra verra."
"04/09","Faute avouée est à moitié pardonnée."
"05/09","Il n’y a que les imbéciles qui ne changent pas d’avis."
"06/09","Il n’est pire aveugle que celui qui ne veut pas voir."
"07/09","Les bons comptes font les bons amis."
"08/09","L’avenir appartient à ceux qui se lèvent tôt."
"09/09","Mieux vaut tard que jamais."
"10/09","Il ne faut pas mettre tous ses œufs dans le même panier."
"11/09","Qui ne tente rien n’a rien."
"12/09","Un tiens vaut mieux que deux tu l’auras."
"13/09","À chaque jour suffit sa peine."
"14/09","La nuit porte conseil."
"15/09","Il n’y a pas de fumée sans feu."
"16/09","Les absents ont toujours tort."
"17/09","Tel est pris qui croyait prendre."
"18/09","Petit à petit, l’oiseau fait son nid."
"19/09","Pierre qui roule n’amasse pas mousse."
"20/09","Chose promise, chose due."
"21/09","Tant va la cruche à l’eau qu’à la fin elle se casse."
"22/09","On ne fait pas d’omelette sans casser des œufs."
"23/09","Charbonnier est maître chez lui."
"24/09","Ce que femme veut, Dieu le veut."
"25/09","L’habit ne fait pas le moine."
"26/09","Il faut battre le fer pendant qu’il est chaud."
"27/09","Chat échaudé craint l’eau froide."
"28/09","Qui vivra verra."
"29/09","Faute avouée est à moitié pardonnée."
"30/09","Il n’y a que les imbéciles qui ne changent pas d’avis."
"01/10","Il n’est pire aveugle que celui qui ne veut pas voir."
"02/10","Les bons comptes font les bons amis."
"03/10","L’avenir appartient à ceux qui se lèvent tôt."
"04/10","Mieux vaut tard que jamais."
"05/10","Il ne faut pas mettre tous ses œufs dans le même panier."
"06/10","Qui ne tente rien n’a rien."
"07/10","Un tiens vaut mieux que deux tu l’auras."
"08/10","À chaque jour suffit sa peine."
"09/10","La nuit porte conseil."
"10/10","Il n’y a pas de fumée sans feu."
"11/10","Les absents ont toujours tort."
"12/10","Tel est pris qui croyait prendre."
"13/10","Petit à petit, l’oiseau fait son nid."
"14/10","Pierre qui roule n’amasse pas mousse."
"15/10","Chose promise, chose due."
"16/10","Tant va la cruche à l’eau qu’à la fin elle se casse."
"17/10","On ne fait pas d’omelette sans casser des œufs."
"18/10","Charbonnier est maître chez lui."
"19/10","Ce que femme veut, Dieu le veut."
"20/10","L’habit ne fait pas le moine."
"21/10","Il faut battre le fer pendant qu’il est chaud."
"22/10","Chat échaudé craint l’eau froide."
"23/10","Qui vivra verra."
"24/10","Faute avouée est à moitié pardonnée."
"25/10","Il n’y a que les imbéciles qui ne changent pas d’avis."
"26/10","Il n’est pire aveugle que celui qui ne veut pas voir."
"27/10","Les bons comptes font les bons amis."
"28/10","L’avenir appartient à ceux qui se lèvent tôt."
"29/10","Mieux vaut tard que jamais."
"30/10","Il ne faut pas mettre tous ses œufs dans le même panier."
"31/10","Qui ne tente rien n’a rien."
"01/11","Un tiens vaut mieux que deux tu l’auras."
"02/11","À chaque jour suffit sa peine."
"03/11","La nuit porte conseil."
"04/11","Il n’y a pas de fumée sans feu."
"05/11","Les absents ont toujours tort."
"06/11","Tel est pris qui croyait prendre."
"07/11","Petit à petit, l’oiseau fait son nid."
"08/11","Pierre qui roule n’amasse pas mousse."
"09/11","Chose promise, chose due."
"10/11","Tant va la cruche à l’eau qu’à la fin elle se casse."
"11/11","On ne fait pas d’omelette sans casser des œufs."
"12/11","Charbonnier est maître chez lui."
"13/11","Ce que femme veut, Dieu le veut."
"14/11","L’habit ne fait pas le moine."
"15/11","Il faut battre le fer pendant qu’il est chaud."
"16/11","Chat échaudé craint l’eau froide."
"17/11","Qui vivra verra."
"18/11","Faute avouée est à moitié pardonnée."
"19/11","Il n’y a que les imbéciles qui ne changent pas d’avis."
"20/11","Il n’est pire aveugle que celui qui ne veut pas voir."
"21/11","Les bons comptes font les bons amis."
"22/11","L’avenir appartient à ceux qui se lèvent tôt."
"23/11","Mieux vaut tard que jamais."
"24/11","Il ne faut pas mettre tous ses œufs dans le même panier."
"25/11","Qui ne tente rien n’a rien."
"26/11","Un tiens vaut mieux que deux tu l’auras."
"27/11","À chaque jour suffit sa peine."
"28/11","La nuit porte conseil."
"29/11","Il n’y a pas de fumée sans feu."
"30/11","Les absents ont toujours tort."
"01/12","Tel est pris qui croyait prendre."
"02/12","Petit à petit, l’oiseau fait son nid."
"03/12","Pierre qui roule n’amasse pas mousse."
"04/12","Chose promise, chose due."
"05/12","Tant va la cruche à l’eau qu’à la fin elle se casse."
"06/12","On ne fait pas d’omelette sans casser des œufs."
"07/12","Charbonnier est maître chez lui."
"08/12","Ce que femme veut, Dieu le veut."
"09/12","L’habit ne fait pas le moine."
"10/12","Il faut battre le fer pendant qu’il est chaud."
"11/12","Chat échaudé craint l’eau froide."
"12/12","Qui vivra verra."
"13/12","Faute avouée est à moitié pardonnée."
"14/12","Il n’y a que les imbéciles qui ne changent pas d’avis."
"15/12","Il n’est pire aveugle que celui qui ne veut pas voir."
"16/12","Les bons comptes font les bons amis."
"17/12","L’avenir appartient à ceux qui se lèvent tôt."
"18/12","Mieux vaut tard que jamais."
"19/12","Il ne faut pas mettre tous ses œufs dans le même panier."
"20/12","Qui ne tente rien n’a rien."
"21/12","Un tiens vaut mieux que deux tu l’auras."
"22/12","À chaque jour suffit sa peine."
"23/12","La nuit porte conseil."
"24/12","Il n’y a pas de fumée sans feu."
"25/12","Les absents ont toujours tort."
"26/12","Tel est pris qui croyait prendre."
"27/12","Petit à petit, l’oiseau fait son nid."
"28/12","Pierre qui roule n’amasse pas mousse."
"29/12","Chose promise, chose due."
"30/12","Tant va la cruche à l’eau qu’à la fin elle se casse."
"31/12","On ne fait pas d’omelette sans casser des œufs."
